engine-size,horsepower,city-mpg,price,fuel-type_diesel,fuel-type_gas,num-of-doors_four,num-of-doors_two,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd
130,111.0,21,13495.0,0,1,0,1,1,0,0,0,0,0,0,1
130,111.0,21,16500.0,0,1,0,1,1,0,0,0,0,0,0,1
152,154.0,19,16500.0,0,1,0,1,0,0,1,0,0,0,0,1
109,102.0,24,13950.0,0,1,1,0,0,0,0,1,0,0,1,0
136,115.0,18,17450.0,0,1,1,0,0,0,0,1,0,1,0,0
136,110.0,19,15250.0,0,1,0,1,0,0,0,1,0,0,1,0
136,110.0,19,17710.0,0,1,1,0,0,0,0,1,0,0,1,0
136,110.0,19,18920.0,0,1,1,0,0,0,0,0,1,0,1,0
131,140.0,17,23875.0,0,1,1,0,0,0,0,1,0,0,1,0
108,101.0,23,16430.0,0,1,0,1,0,0,0,1,0,0,0,1
108,101.0,23,16925.0,0,1,1,0,0,0,0,1,0,0,0,1
164,121.0,21,20970.0,0,1,0,1,0,0,0,1,0,0,0,1
164,121.0,21,21105.0,0,1,1,0,0,0,0,1,0,0,0,1
164,121.0,20,24565.0,0,1,1,0,0,0,0,1,0,0,0,1
209,182.0,16,30760.0,0,1,1,0,0,0,0,1,0,0,0,1
209,182.0,16,41315.0,0,1,0,1,0,0,0,1,0,0,0,1
209,182.0,15,36880.0,0,1,1,0,0,0,0,1,0,0,0,1
61,48.0,47,5151.0,0,1,0,1,0,0,1,0,0,0,1,0
90,70.0,38,6295.0,0,1,0,1,0,0,1,0,0,0,1,0
90,70.0,38,6575.0,0,1,1,0,0,0,0,1,0,0,1,0
90,68.0,37,5572.0,0,1,0,1,0,0,1,0,0,0,1,0
90,68.0,31,6377.0,0,1,0,1,0,0,1,0,0,0,1,0
98,102.0,24,7957.0,0,1,0,1,0,0,1,0,0,0,1,0
90,68.0,31,6229.0,0,1,1,0,0,0,1,0,0,0,1,0
90,68.0,31,6692.0,0,1,1,0,0,0,0,1,0,0,1,0
90,68.0,31,7609.0,0,1,1,0,0,0,0,1,0,0,1,0
98,102.0,24,8558.0,0,1,1,0,0,0,0,1,0,0,1,0
122,88.0,24,8921.0,0,1,1,0,0,0,0,0,1,0,1,0
156,145.0,19,12964.0,0,1,0,1,0,0,1,0,0,0,1,0
92,58.0,49,6479.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,31,6855.0,0,1,0,1,0,0,1,0,0,0,1,0
79,60.0,38,5399.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,30,6529.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,30,7129.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,30,7295.0,0,1,1,0,0,0,0,1,0,0,1,0
92,76.0,30,7295.0,0,1,1,0,0,0,0,0,1,0,1,0
110,86.0,27,7895.0,0,1,0,1,0,0,1,0,0,0,1,0
110,86.0,27,9095.0,0,1,0,1,0,0,1,0,0,0,1,0
110,86.0,27,8845.0,0,1,1,0,0,0,0,1,0,0,1,0
110,86.0,27,10295.0,0,1,1,0,0,0,0,1,0,0,1,0
110,101.0,24,12945.0,0,1,1,0,0,0,0,1,0,0,1,0
110,100.0,25,10345.0,0,1,0,1,0,0,0,1,0,0,1,0
111,78.0,24,6785.0,0,1,1,0,0,0,0,1,0,0,0,1
119,90.0,24,11048.0,0,1,0,1,0,0,1,0,0,0,0,1
258,176.0,15,32250.0,0,1,1,0,0,0,0,1,0,0,0,1
258,176.0,15,35550.0,0,1,1,0,0,0,0,1,0,0,0,1
326,262.0,13,36000.0,0,1,0,1,0,0,0,1,0,0,0,1
91,68.0,30,5195.0,0,1,0,1,0,0,1,0,0,0,1,0
91,68.0,31,6095.0,0,1,0,1,0,0,1,0,0,0,1,0
91,68.0,31,6795.0,0,1,0,1,0,0,1,0,0,0,1,0
91,68.0,31,6695.0,0,1,1,0,0,0,0,1,0,0,1,0
91,68.0,31,7395.0,0,1,1,0,0,0,0,1,0,0,1,0
70,101.0,17,10945.0,0,1,0,1,0,0,1,0,0,0,0,1
70,101.0,17,11845.0,0,1,0,1,0,0,1,0,0,0,0,1
70,101.0,17,13645.0,0,1,0,1,0,0,1,0,0,0,0,1
80,135.0,16,15645.0,0,1,0,1,0,0,1,0,0,0,0,1
122,84.0,26,8845.0,0,1,0,1,0,0,1,0,0,0,1,0
122,84.0,26,8495.0,0,1,1,0,0,0,0,1,0,0,1,0
122,84.0,26,10595.0,0,1,0,1,0,0,1,0,0,0,1,0
122,84.0,26,10245.0,0,1,1,0,0,0,0,1,0,0,1,0
122,64.0,36,10795.0,1,0,1,0,0,0,0,1,0,0,1,0
122,84.0,26,11245.0,0,1,1,0,0,0,1,0,0,0,1,0
140,120.0,19,18280.0,0,1,1,0,0,0,0,1,0,0,0,1
134,72.0,31,18344.0,1,0,1,0,0,0,0,1,0,0,0,1
183,123.0,22,25552.0,1,0,1,0,0,0,0,1,0,0,0,1
183,123.0,22,28248.0,1,0,1,0,0,0,0,0,1,0,0,1
183,123.0,22,28176.0,1,0,0,1,0,1,0,0,0,0,0,1
183,123.0,22,31600.0,1,0,1,0,0,0,0,1,0,0,0,1
234,155.0,16,34184.0,0,1,1,0,0,0,0,1,0,0,0,1
234,155.0,16,35056.0,0,1,0,1,1,0,0,0,0,0,0,1
308,184.0,14,40960.0,0,1,1,0,0,0,0,1,0,0,0,1
304,184.0,14,45400.0,0,1,0,1,0,1,0,0,0,0,0,1
140,175.0,19,16503.0,0,1,0,1,0,0,1,0,0,0,0,1
92,68.0,37,5389.0,0,1,0,1,0,0,1,0,0,0,1,0
92,68.0,31,6189.0,0,1,0,1,0,0,1,0,0,0,1,0
92,68.0,31,6669.0,0,1,0,1,0,0,1,0,0,0,1,0
98,102.0,24,7689.0,0,1,0,1,0,0,1,0,0,0,1,0
110,116.0,23,9959.0,0,1,0,1,0,0,1,0,0,0,1,0
122,88.0,25,8499.0,0,1,0,1,0,0,1,0,0,0,1,0
156,145.0,19,12629.0,0,1,0,1,0,0,1,0,0,0,1,0
156,145.0,19,14869.0,0,1,0,1,0,0,1,0,0,0,1,0
156,145.0,19,14489.0,0,1,0,1,0,0,1,0,0,0,1,0
122,88.0,25,6989.0,0,1,1,0,0,0,0,1,0,0,1,0
122,88.0,25,8189.0,0,1,1,0,0,0,0,1,0,0,1,0
110,116.0,23,9279.0,0,1,1,0,0,0,0,1,0,0,1,0
110,116.0,23,9279.0,0,1,1,0,0,0,0,1,0,0,1,0
97,69.0,31,5499.0,0,1,0,1,0,0,0,1,0,0,1,0
103,55.0,45,7099.0,1,0,0,1,0,0,0,1,0,0,1,0
97,69.0,31,6649.0,0,1,0,1,0,0,0,1,0,0,1,0
97,69.0,31,6849.0,0,1,1,0,0,0,0,1,0,0,1,0
97,69.0,31,7349.0,0,1,1,0,0,0,0,0,1,0,1,0
97,69.0,31,7299.0,0,1,0,1,0,0,0,1,0,0,1,0
97,69.0,31,7799.0,0,1,0,1,0,0,1,0,0,0,1,0
97,69.0,31,7499.0,0,1,1,0,0,0,0,1,0,0,1,0
97,69.0,31,7999.0,0,1,1,0,0,0,0,0,1,0,1,0
97,69.0,31,8249.0,0,1,0,1,0,1,0,0,0,0,1,0
120,97.0,27,8949.0,0,1,1,0,0,0,1,0,0,0,1,0
120,97.0,27,9549.0,0,1,1,0,0,0,0,1,0,0,1,0
181,152.0,17,13499.0,0,1,1,0,0,0,0,1,0,0,1,0
181,152.0,17,14399.0,0,1,1,0,0,0,0,0,1,0,1,0
181,152.0,19,13499.0,0,1,1,0,0,0,0,1,0,0,1,0
181,160.0,19,17199.0,0,1,0,1,0,0,1,0,0,0,0,1
181,200.0,17,19699.0,0,1,0,1,0,0,1,0,0,0,0,1
181,160.0,19,18399.0,0,1,0,1,0,0,1,0,0,0,0,1
120,97.0,19,11900.0,0,1,1,0,0,0,0,1,0,0,0,1
152,95.0,28,13200.0,1,0,1,0,0,0,0,1,0,0,0,1
120,97.0,19,12440.0,0,1,1,0,0,0,0,0,1,0,0,1
152,95.0,25,13860.0,1,0,1,0,0,0,0,0,1,0,0,1
120,95.0,19,15580.0,0,1,1,0,0,0,0,1,0,0,0,1
152,95.0,28,16900.0,1,0,1,0,0,0,0,1,0,0,0,1
120,95.0,19,16695.0,0,1,1,0,0,0,0,0,1,0,0,1
152,95.0,25,17075.0,1,0,1,0,0,0,0,0,1,0,0,1
120,97.0,19,16630.0,0,1,1,0,0,0,0,1,0,0,0,1
152,95.0,28,17950.0,1,0,1,0,0,0,0,1,0,0,0,1
134,142.0,18,18150.0,0,1,1,0,0,0,0,1,0,0,0,1
90,68.0,37,5572.0,0,1,0,1,0,0,1,0,0,0,1,0
98,102.0,24,7957.0,0,1,0,1,0,0,1,0,0,0,1,0
90,68.0,31,6229.0,0,1,1,0,0,0,1,0,0,0,1,0
90,68.0,31,6692.0,0,1,1,0,0,0,0,1,0,0,1,0
98,68.0,31,7609.0,0,1,1,0,0,0,0,1,0,0,1,0
122,88.0,24,8921.0,0,1,1,0,0,0,0,0,1,0,1,0
156,145.0,19,12764.0,0,1,0,1,0,0,1,0,0,0,0,1
151,143.0,19,22018.0,0,1,0,1,0,0,1,0,0,0,0,1
194,207.0,17,32528.0,0,1,0,1,0,1,0,0,0,0,0,1
194,207.0,17,34028.0,0,1,0,1,0,1,0,0,0,0,0,1
194,207.0,17,37028.0,0,1,0,1,1,0,0,0,0,0,0,1
132,95.0,23,9295.0,0,1,1,0,0,0,0,0,1,0,1,0
132,95.0,23,9895.0,0,1,0,1,0,0,1,0,0,0,1,0
121,110.0,21,11850.0,0,1,0,1,0,0,1,0,0,0,1,0
121,110.0,21,12170.0,0,1,1,0,0,0,0,1,0,0,1,0
121,110.0,21,15040.0,0,1,0,1,0,0,1,0,0,0,1,0
121,110.0,21,15510.0,0,1,1,0,0,0,0,1,0,0,1,0
121,160.0,19,18150.0,0,1,0,1,0,0,1,0,0,0,1,0
121,160.0,19,18620.0,0,1,1,0,0,0,0,1,0,0,1,0
97,69.0,31,5118.0,0,1,0,1,0,0,1,0,0,0,1,0
108,73.0,26,7053.0,0,1,0,1,0,0,1,0,0,0,1,0
108,73.0,26,7603.0,0,1,0,1,0,0,1,0,0,1,0,0
108,82.0,32,7126.0,0,1,1,0,0,0,0,1,0,0,1,0
108,82.0,28,7775.0,0,1,1,0,0,0,0,1,0,0,1,0
108,94.0,26,9960.0,0,1,1,0,0,0,0,1,0,0,1,0
108,82.0,24,9233.0,0,1,1,0,0,0,0,1,0,1,0,0
108,111.0,24,11259.0,0,1,1,0,0,0,0,1,0,1,0,0
108,82.0,28,7463.0,0,1,1,0,0,0,0,0,1,0,1,0
108,94.0,25,10198.0,0,1,1,0,0,0,0,0,1,0,1,0
108,82.0,23,8013.0,0,1,1,0,0,0,0,0,1,1,0,0
108,111.0,23,11694.0,0,1,1,0,0,0,0,0,1,1,0,0
92,62.0,35,5348.0,0,1,0,1,0,0,1,0,0,0,1,0
92,62.0,31,6338.0,0,1,0,1,0,0,1,0,0,0,1,0
92,62.0,31,6488.0,0,1,1,0,0,0,1,0,0,0,1,0
92,62.0,31,6918.0,0,1,1,0,0,0,0,0,1,0,1,0
92,62.0,27,7898.0,0,1,1,0,0,0,0,0,1,1,0,0
92,62.0,27,8778.0,0,1,1,0,0,0,0,0,1,1,0,0
98,70.0,30,6938.0,0,1,1,0,0,0,0,1,0,0,1,0
98,70.0,30,7198.0,0,1,1,0,0,0,1,0,0,0,1,0
110,56.0,34,7898.0,1,0,1,0,0,0,0,1,0,0,1,0
110,56.0,38,7788.0,1,0,1,0,0,0,1,0,0,0,1,0
98,70.0,38,7738.0,0,1,1,0,0,0,0,1,0,0,1,0
98,70.0,28,8358.0,0,1,1,0,0,0,1,0,0,0,1,0
98,70.0,28,9258.0,0,1,1,0,0,0,0,1,0,0,1,0
98,70.0,29,8058.0,0,1,0,1,0,0,0,1,0,0,0,1
98,70.0,29,8238.0,0,1,0,1,0,0,1,0,0,0,0,1
98,112.0,26,9298.0,0,1,0,1,0,0,0,1,0,0,0,1
98,112.0,26,9538.0,0,1,0,1,0,0,1,0,0,0,0,1
146,116.0,24,8449.0,0,1,0,1,0,1,0,0,0,0,0,1
146,116.0,24,9639.0,0,1,0,1,0,1,0,0,0,0,0,1
146,116.0,24,9989.0,0,1,0,1,0,0,1,0,0,0,0,1
146,116.0,24,11199.0,0,1,0,1,0,1,0,0,0,0,0,1
146,116.0,24,11549.0,0,1,0,1,0,0,1,0,0,0,0,1
146,116.0,24,17669.0,0,1,0,1,1,0,0,0,0,0,0,1
122,92.0,29,8948.0,0,1,1,0,0,0,0,1,0,0,1,0
110,73.0,30,10698.0,1,0,1,0,0,0,0,1,0,0,1,0
122,92.0,27,9988.0,0,1,1,0,0,0,1,0,0,0,1,0
122,92.0,27,10898.0,0,1,1,0,0,0,0,1,0,0,1,0
122,92.0,27,11248.0,0,1,1,0,0,0,1,0,0,0,1,0
171,161.0,20,16558.0,0,1,0,1,0,0,1,0,0,0,0,1
171,161.0,19,15998.0,0,1,0,1,0,0,1,0,0,0,0,1
171,156.0,20,15690.0,0,1,1,0,0,0,0,1,0,0,0,1
161,156.0,19,15750.0,0,1,1,0,0,0,0,0,1,0,0,1
97,52.0,37,7775.0,1,0,0,1,0,0,0,1,0,0,1,0
109,85.0,27,7975.0,0,1,0,1,0,0,0,1,0,0,1,0
97,52.0,37,7995.0,1,0,1,0,0,0,0,1,0,0,1,0
109,85.0,27,8195.0,0,1,1,0,0,0,0,1,0,0,1,0
109,85.0,27,8495.0,0,1,1,0,0,0,0,1,0,0,1,0
97,68.0,37,9495.0,1,0,1,0,0,0,0,1,0,0,1,0
109,100.0,26,9995.0,0,1,1,0,0,0,0,1,0,0,1,0
109,90.0,24,11595.0,0,1,0,1,1,0,0,0,0,0,1,0
109,90.0,24,9980.0,0,1,0,1,0,0,1,0,0,0,1,0
136,110.0,19,13295.0,0,1,1,0,0,0,0,1,0,0,1,0
97,68.0,33,13845.0,1,0,1,0,0,0,0,1,0,0,1,0
109,88.0,25,12290.0,0,1,1,0,0,0,0,0,1,0,1,0
141,114.0,23,12940.0,0,1,1,0,0,0,0,1,0,0,0,1
141,114.0,23,13415.0,0,1,1,0,0,0,0,0,1,0,0,1
141,114.0,24,15985.0,0,1,1,0,0,0,0,1,0,0,0,1
141,114.0,24,16515.0,0,1,1,0,0,0,0,0,1,0,0,1
130,162.0,17,18420.0,0,1,1,0,0,0,0,1,0,0,0,1
130,162.0,17,18950.0,0,1,1,0,0,0,0,0,1,0,0,1
141,114.0,23,16845.0,0,1,1,0,0,0,0,1,0,0,0,1
141,160.0,19,19045.0,0,1,1,0,0,0,0,1,0,0,0,1
173,134.0,18,21485.0,0,1,1,0,0,0,0,1,0,0,0,1
145,106.0,26,22470.0,1,0,1,0,0,0,0,1,0,0,0,1
141,114.0,19,22625.0,0,1,1,0,0,0,0,1,0,0,0,1
