LoanAmountTerm,CreditHistory,LoanStatus,LoanAmountLog,IncomeLog,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3,Education_Graduate,Education_Not Graduate,SelfEmployed_No,SelfEmployed_Yes,PropertyArea_Rural,PropertyArea_Semiurban,PropertyArea_Urban
360.0,1.0,1,4.852030263919617,8.674025985443025,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.852030263919617,8.714567550836485,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
360.0,1.0,1,4.189654742026425,8.006367567650246,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
360.0,1.0,1,4.787491742782046,8.50532301884575,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
360.0,1.0,1,4.948759890378168,8.699514748210191,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,5.58724865840025,9.170871628065816,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
360.0,1.0,1,4.553876891600541,8.255568653283746,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
360.0,0.0,0,5.062595033026967,8.61974977974133,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
360.0,1.0,1,5.123963979403259,8.61830469278465,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,0,5.855071922202427,10.077818939438902,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.248495242049359,8.268731832117737,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,4.6913478822291435,8.375629627094451,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,5.298317366548036,9.321792297270326,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,0,4.736198448394496,8.453827315794417,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
120.0,1.0,1,2.833213344056216,7.776954403322442,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,4.8283137373023015,8.507142855562735,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
240.0,1.0,1,4.605170185988092,8.18757739559151,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
360.0,0.0,0,4.330733340286331,8.163371316459912,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.890349128221754,8.494333897270154,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
360.0,1.0,1,4.74493212836325,8.716044050161402,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,0.0,0,4.6443908991413725,8.943767262734637,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
360.0,1.0,1,5.752572638825633,9.357034751126987,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,0.0,0,4.7535901911063645,8.414274137408396,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
360.0,0.0,0,4.718498871295094,8.572060092857077,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
360.0,1.0,0,5.017279836814924,8.801168401936692,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
360.0,1.0,1,5.25227342804663,9.165343006045447,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
360.0,1.0,1,4.804021044733257,8.527539483470381,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.700480365792417,8.569026340056254,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
360.0,1.0,0,3.5553480614894135,7.273786317844895,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
360.0,1.0,1,4.787491742782046,8.671286726753637,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
360.0,1.0,0,5.303304908059076,8.927314111060596,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.30406509320417,8.06054004653864,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.663439094112067,8.453614209773367,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0
360.0,1.0,1,4.736198448394496,8.550047528287184,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,5.768320995793772,9.648595302907339,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0
360.0,1.0,1,4.852030263919617,8.376090350438238,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,0.0,0,4.605170185988092,8.057694194815587,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.969813299576001,8.542080906924017,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,5.214935757608986,9.339261152043022,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.700480365792417,8.59711281459211,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
360.0,1.0,0,4.382026634673881,8.1886891244442,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,3.8501476017100584,8.0106915391303,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.31748811353631,7.783224016336037,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.897839799950911,8.744647438317532,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.564348191467836,8.454253391642363,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1
360.0,1.0,1,4.477336814478207,8.134467570277563,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,3.784189633918261,8.639233817325263,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.969813299576001,8.669227347271736,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,0.0,0,4.787491742782046,8.713582005421628,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.969813299576001,8.744328763999984,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.605170185988092,8.18088094199639,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0
360.0,1.0,1,4.787491742782046,8.034631032923107,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,4.718498871295094,8.349957272040324,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,4.897839799950911,8.437283808187935,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,0.0,0,5.655991810819852,9.350102314351341,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
360.0,1.0,1,4.574710978503383,8.262300941787448,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
360.0,1.0,1,4.564348191467836,8.222285073872717,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,4.90527477843843,8.624431942085836,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,5.19295685089021,9.242807562113684,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.969813299576001,8.734881892047483,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
360.0,1.0,1,4.787491742782046,8.74766979009724,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.59511985013459,8.015987811027237,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
180.0,0.0,0,5.10594547390058,8.709134991587183,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
360.0,0.0,0,4.852030263919617,8.506132244056813,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
360.0,0.0,0,4.7535901911063645,8.334711621820917,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,5.552959584921617,9.241935933565934,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
180.0,0.0,0,4.836281906951478,8.604104563405533,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
360.0,1.0,1,5.7430031878094825,9.28266103355581,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
60.0,1.0,1,4.8283137373023015,8.867850063029406,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
360.0,0.0,0,4.912654885736052,8.366370301681654,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,5.147494476813453,8.744169388750624,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.574710978503383,8.229511118964457,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
300.0,1.0,1,4.394449154672439,8.160518247477505,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,0.0,0,4.553876891600541,8.46695197497949,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
360.0,1.0,1,5.231108616854587,8.859363449152088,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0
480.0,1.0,0,4.727387818712341,8.229511118964457,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,5.170483995038151,9.047821442478408,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.700480365792417,8.299534570332597,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
300.0,0.0,0,5.19295685089021,8.877242435993919,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
360.0,1.0,1,4.867534450455582,8.612321536507814,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
360.0,1.0,1,4.709530201312334,8.254788926148725,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.852030263919617,7.781138509845015,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
360.0,1.0,0,5.117993812416755,8.089175678837561,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,0,5.579729825986222,9.017968479328726,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
240.0,1.0,1,3.912023005428146,8.291045131081729,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.912654885736052,8.496378051702317,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.59511985013459,8.581669210600602,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
360.0,1.0,1,4.6443908991413725,8.43771698991444,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,5.3471075307174685,9.055556158175316,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,5.1647859739235145,9.196444266784072,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.875197323201151,8.675563527387679,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
180.0,1.0,1,5.236441962829949,9.384629757072872,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
360.0,1.0,1,4.394449154672439,8.535622326884605,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
360.0,1.0,1,4.804021044733257,8.326758814511733,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
120.0,1.0,1,3.2188758248682006,8.194229304819817,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
360.0,1.0,0,4.852030263919617,8.822027322685583,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.919980925828125,8.47345026846832,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,3.912023005428146,7.9976631270201,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
180.0,1.0,1,4.74493212836325,8.339978571990427,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
360.0,1.0,1,4.875197323201151,8.575462099540212,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
180.0,1.0,1,4.890349128221754,8.929435283803425,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
360.0,1.0,1,5.017279836814924,9.065198986306513,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.852030263919617,9.521494800613105,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.852030263919617,9.016148642611741,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,5.075173815233827,8.42726848388825,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.605170185988092,8.31434234336979,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,1.0,1,5.41610040220442,9.436918020024674,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,0,4.787491742782046,8.9001399880938,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
360.0,0.0,0,5.375278407684165,8.909235279192261,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
480.0,1.0,1,4.543294782270004,7.946263643580541,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
360.0,1.0,1,4.912654885736052,8.578476419833136,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.9344739331306915,8.568266461600238,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,0.0,0,5.0238805208462765,8.94715577112479,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
360.0,1.0,1,4.852030263919617,8.916103530553727,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0
360.0,1.0,1,4.770684624465665,8.527143522269405,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
180.0,1.0,1,5.220355825078324,9.587611745713565,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
360.0,1.0,1,5.0369526024136295,8.60337088765729,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.442651256490317,8.192016914536875,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,1.0,0,5.1647859739235145,8.950273466557375,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,5.556828061699537,9.250330020192342,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,5.19295685089021,9.0280988119824,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,3.784189633918261,8.334711621820917,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,0.0,1,4.919980925828125,9.316230747233615,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.394449154672439,7.9919305198524775,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
360.0,1.0,1,5.267858159063328,8.750524669117937,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
360.0,1.0,1,4.532599493153256,8.213923595622743,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,5.91350300563827,10.077566902136047,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
360.0,1.0,1,4.852030263919617,8.61341204915678,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
180.0,0.0,0,5.075173815233827,9.572410734431823,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
360.0,1.0,0,5.204006687076795,9.065198986306513,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
480.0,1.0,1,6.476972362889683,9.91175329695316,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
360.0,1.0,1,4.30406509320417,8.279697133877628,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.248495242049359,7.907651594711089,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
120.0,1.0,1,3.2188758248682006,8.148734808937169,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
360.0,1.0,1,4.624972813284271,8.49596955496461,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,5.66988092298052,9.371608519572305,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
360.0,1.0,0,4.430816798843313,8.430109084509125,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,4.477336814478207,8.827028068509152,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
360.0,0.0,0,5.488937726156687,9.61573881119536,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,4.859812404361672,8.635864721133736,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
360.0,1.0,0,5.220355825078324,8.871365005136852,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
360.0,1.0,1,5.123963979403259,8.597297435657898,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
180.0,1.0,1,5.1647859739235145,8.846496938558838,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0
360.0,1.0,1,4.804021044733257,8.462103225098277,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
180.0,1.0,1,5.231108616854587,9.372204086867741,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,4.605170185988092,8.827028068509152,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.248495242049359,9.60683200528524,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,3.4011973816621555,7.993957547573565,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,1.0,0,5.41610040220442,9.364433907313582,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,4.8283137373023015,8.646465527120377,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,0.0,0,4.770684624465665,8.744647438317532,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,5.0238805208462765,8.752581469146884,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0
360.0,1.0,0,5.497168225293202,9.123256265069069,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.727387818712341,7.732369222284388,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
360.0,1.0,1,3.912023005428146,8.087640287778983,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
180.0,0.0,1,6.396929655216146,10.596609732783568,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
360.0,1.0,1,5.075173815233827,8.699514748210191,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
360.0,1.0,1,5.231108616854587,9.16303909885817,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,1.0,1,4.787491742782046,8.529714471969909,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,5.541263545158426,9.23092700558457,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.584967478670572,7.973844375944687,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
360.0,1.0,0,5.616771097666572,8.978786553302003,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,0.0,0,4.795790545596741,8.382289428951436,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
360.0,1.0,1,5.062595033026967,8.633018756921828,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
180.0,1.0,1,4.31748811353631,9.140239744296693,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,5.204006687076795,8.835355971121606,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,0,4.718498871295094,8.430109084509125,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,4.859812404361672,8.660773919893762,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
480.0,0.0,0,4.143134726391533,7.71289096149013,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,5.298317366548036,8.987196820661973,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
360.0,1.0,1,4.553876891600541,8.185628891147607,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
300.0,1.0,1,6.551080335043404,10.854430887309706,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
180.0,1.0,0,4.394449154672439,8.166784289056151,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
360.0,1.0,1,5.231108616854587,9.335474102732949,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,4.465908118654584,8.533066540572527,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0
360.0,1.0,1,4.7535901911063645,8.605387202152153,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,4.61512051684126,8.20631072579402,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
360.0,0.0,0,6.20455776256869,9.730086093116732,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
360.0,1.0,1,4.7535901911063645,8.229511118964457,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
480.0,0.0,0,4.624972813284271,8.238536930171769,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
360.0,0.0,0,5.19295685089021,9.521494800613105,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.204692619390966,8.850660919017152,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
180.0,1.0,1,4.290459441148391,8.433811582477187,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,5.560681631015528,10.429576102968031,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.68213122712422,8.195609567288775,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.787491742782046,10.689601259598334,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
300.0,0.0,0,4.189654742026425,7.686162303492906,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
360.0,1.0,1,4.060443010546419,8.416488487294606,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,5.123963979403259,8.694502206386648,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0
180.0,1.0,1,5.236441962829949,9.140775908590273,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,3.871201010907891,8.493924564476883,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
360.0,1.0,0,5.099866427824199,9.392661928770137,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,5.075173815233827,8.704999678440762,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
360.0,1.0,1,4.330733340286331,8.257904193465674,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.787491742782046,8.340694647925071,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,0,5.135798437050262,8.649623978596727,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
360.0,1.0,1,5.231108616854587,9.399554785027307,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
360.0,1.0,1,4.787491742782046,8.35983738064003,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1
360.0,1.0,1,4.727387818712341,8.737452587550584,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,0,4.418840607796598,9.305650551780507,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
360.0,1.0,1,4.499809670330265,8.536995818712418,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
360.0,0.0,1,5.111987788356544,8.5016733797582,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
